ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10140,-0.31754608481363966,0.8101579745265014,10,0.3407752855101583,2003-07-24,Shipped,3,7,2003,Trucks and Buses,0.380391923286869,S18_1097,Technics Stores Inc.,6505556809,9408 Furth Circle,Desconocido,Burlingame,CA,94217,USA,Desconocido,Hirano,Juri,Medium
10150,-0.11220131389876072,0.8101579745265014,7,0.5903274464567169,2003-09-19,Shipped,3,9,2003,Trucks and Buses,0.380391923286869,S18_1097,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Desconocido,Singapore,Desconocido,79903,Singapore,Japan,Natividad,Eric,Medium
10164,0.09314345701611873,0.7690091856392102,8,0.008813785314645224,2003-10-21,Resolved,4,10,2003,Trucks and Buses,0.380391923286869,S18_1097,Mini Auto Werke,7675-3555,Kirchgasse 6,Desconocido,Graz,Desconocido,8010,Austria,EMEA,Mendel,Roland,Medium
10174,1.3252120825053932,0.47997612634654946,3,0.5030743321280261,2003-11-06,Shipped,4,11,2003,Trucks and Buses,0.380391923286869,S18_1097,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,Desconocido,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium
10183,-1.4469423248454751,0.653495115630308,7,-0.8255319024109358,2003-11-13,Shipped,4,11,2003,Trucks and Buses,0.380391923286869,S18_1097,"Classic Gift Ideas, Inc",2155554695,782 First Street,Desconocido,Philadelphia,PA,71270,USA,Desconocido,Cervantes,Francisca,Small
10194,-1.4469423248454751,0.47997612634654946,10,-0.8654441746486675,2003-11-25,Shipped,4,11,2003,Trucks and Buses,0.380391923286869,S18_1097,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Desconocido,Lyon,Desconocido,69004,France,EMEA,Saveley,Mary,Small
10206,-0.11220131389876072,0.8101579745265014,5,0.22420972961149863,2003-12-05,Shipped,4,12,2003,Trucks and Buses,0.380391923286869,S18_1097,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Desconocido,Vancouver,BC,V3F 2K1,Canada,Desconocido,Tannamuri,Yoshi,Medium
10215,1.119867311590515,0.8101579745265014,2,0.8678127677285667,2004-01-29,Shipped,1,1,2004,Trucks and Buses,0.380391923286869,S18_1097,West Coast Collectables Co.,3105553722,3675 Furth Circle,Desconocido,Burbank,CA,94019,USA,Desconocido,Thompson,Steve,Medium
10228,-0.31754608481363966,0.8101579745265014,1,-0.1052864411151808,2004-03-10,Shipped,1,3,2004,Trucks and Buses,0.380391923286869,S18_1097,Cambridge Collectables Co.,6175555555,4658 Baden Av.,Desconocido,Cambridge,MA,51247,USA,Desconocido,Tseng,Kyung,Medium
10245,-0.6255632411859583,0.8101579745265014,8,-0.05587124691608434,2004-05-04,Shipped,2,5,2004,Trucks and Buses,0.380391923286869,S18_1097,Super Scale Inc.,2035559545,567 North Pendale Street,Desconocido,New Haven,CT,97823,USA,Desconocido,Murphy,Leslie,Medium
10258,0.6065053843033164,0.8101579745265014,5,1.0312630254640398,2004-06-15,Shipped,2,6,2004,Trucks and Buses,0.380391923286869,S18_1097,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Desconocido,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Medium
10270,0.8118501552181958,0.653495115630308,8,0.3313701078889678,2004-07-19,Shipped,3,7,2004,Trucks and Buses,0.380391923286869,S18_1097,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium
10280,-1.1389251684731565,0.8101579745265014,1,-0.4093365019498856,2004-08-17,Shipped,3,8,2004,Trucks and Buses,0.380391923286869,S18_1097,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Desconocido,Torino,Desconocido,10100,Italy,EMEA,Accorti,Paolo,Small
10291,0.6065053843033164,0.8101579745265014,10,0.6158169982776573,2004-09-08,Shipped,3,9,2004,Trucks and Buses,0.380391923286869,S18_1097,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Desconocido,Boras,Desconocido,S-844 67,Sweden,EMEA,Larsson,Maria,Medium
10304,1.119867311590515,0.7110042663643537,5,0.5181052395503447,2004-10-11,Shipped,4,10,2004,Trucks and Buses,0.380391923286869,S18_1097,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Desconocido,Versailles,Desconocido,78000,France,EMEA,Tonini,Daniel,Medium
10312,-0.31754608481363966,0.8101579745265014,2,0.3407752855101583,2004-10-21,Shipped,4,10,2004,Trucks and Buses,0.380391923286869,S18_1097,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,Desconocido,San Rafael,CA,97562,USA,Desconocido,Nelson,Valarie,Medium
10322,-1.3442699393880353,0.8101579745265014,10,-0.707478460445182,2004-11-04,Shipped,4,11,2004,Trucks and Buses,0.380391923286869,S18_1097,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Desconocido,Nashua,NH,62005,USA,Desconocido,Young,Valarie,Small
10333,-0.6255632411859583,-2.1520590568176607,7,-1.2960025628741803,2004-11-18,Shipped,4,11,2004,Trucks and Buses,0.380391923286869,S18_1097,Mini Wheels Co.,6505555787,5557 North Pendale Street,Desconocido,San Francisco,CA,Desconocido,USA,Desconocido,Murphy,Julie,Small
10347,0.7091777697607561,-1.6885154711596202,5,-0.798619627416351,2004-11-29,Shipped,4,11,2004,Trucks and Buses,0.380391923286869,S18_1097,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small
10357,0.4011606133884374,0.7110042663643537,1,0.14559069866484786,2004-12-10,Shipped,4,12,2004,Trucks and Buses,0.380391923286869,S18_1097,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,Desconocido,San Rafael,CA,97562,USA,Desconocido,Nelson,Valarie,Medium
10370,-0.8309080121008378,0.8101579745265014,1,0.19418592645470648,2005-01-20,Shipped,1,1,2005,Trucks and Buses,0.380391923286869,S18_1097,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Medium
10381,1.3252120825053932,0.7110042663643537,2,0.62453796551763,2005-02-17,Shipped,1,2,2005,Trucks and Buses,0.380391923286869,S18_1097,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Desconocido,San Francisco,CA,Desconocido,USA,Desconocido,Brown,Julie,Medium
10391,-0.6255632411859583,0.07146284871850074,10,-0.5897182514999504,2005-03-09,Shipped,1,3,2005,Trucks and Buses,0.380391923286869,S18_1097,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small
10411,-0.8309080121008378,0.8101579745265014,8,-0.1851109855906444,2005-05-01,Shipped,2,5,2005,Trucks and Buses,0.380391923286869,S18_1097,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Desconocido,Montreal,Quebec,H1J 1C3,Canada,Desconocido,Fresnisre,Jean,Medium
10424,1.9412463952500307,0.8101579745265014,5,1.9701517152468742,2005-05-31,In Process,2,5,2005,Trucks and Buses,0.380391923286869,S18_1097,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Desconocido,Madrid,Desconocido,28034,Spain,EMEA,Freyre,Diego,Large
10109,-0.9335803975582769,0.8101579745265014,4,0.4481528734324591,2003-03-10,Shipped,1,3,2003,Classic Cars,1.0025797416323496,S18_1129,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Desconocido,Philadelphia,PA,71270,USA,Desconocido,Hernandez,Rosa,Medium
10122,-0.11220131389876072,0.8101579745265014,2,0.7878796184306873,2003-05-08,Shipped,2,5,2003,Classic Cars,1.0025797416323496,S18_1129,Marseille Mini Autos,91.24.4555,"12, rue des Bouchers",Desconocido,Marseille,Desconocido,13008,France,EMEA,Lebihan,Laurence,Medium
10136,-1.0362527830157167,0.8101579745265014,2,0.04933967479902528,2003-07-04,Shipped,3,7,2003,Classic Cars,1.0025797416323496,S18_1129,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Desconocido,Toulouse,Desconocido,31000,France,EMEA,Roulet,Annette,Medium
10148,-1.2415975539305957,0.8101579745265014,13,-0.46257458589801126,2003-09-11,Shipped,3,9,2003,Classic Cars,1.0025797416323496,S18_1129,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small
10161,-0.728235626643398,0.8101579745265014,12,0.11457316138295358,2003-10-17,Shipped,4,10,2003,Classic Cars,1.0025797416323496,S18_1129,Heintze Collectables,86 21 3555,Smagsloget 45,Desconocido,Aaarhus,Desconocido,8200,Denmark,EMEA,Ibsen,Palle,Medium
10171,-0.009528928441320991,0.8101579745265014,2,0.5181052395503447,2003-11-05,Shipped,4,11,2003,Classic Cars,1.0025797416323496,S18_1129,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Desconocido,Montreal,Quebec,H1J 1C3,Canada,Desconocido,Fresnisre,Jean,Medium
10181,0.9145225406756355,0.8101579745265014,6,1.0123440653992428,2003-11-12,Shipped,4,11,2003,Classic Cars,1.0025797416323496,S18_1129,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Desconocido,Bergen,Desconocido,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
10192,-1.3442699393880353,0.8101579745265014,11,-0.13750949192588835,2003-11-20,Shipped,4,11,2003,Classic Cars,1.0025797416323496,S18_1129,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Desconocido,Nashua,NH,62005,USA,Desconocido,Young,Valarie,Medium
10204,0.7091777697607561,0.8101579745265014,17,1.4273448128137214,2003-12-02,Shipped,4,12,2003,Classic Cars,1.0025797416323496,S18_1129,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,Desconocido,Young,Jeff,Medium
10212,-0.6255632411859583,0.8101579745265014,10,0.34364788306305055,2004-01-16,Shipped,1,1,2004,Classic Cars,1.0025797416323496,S18_1129,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Desconocido,Madrid,Desconocido,28034,Spain,EMEA,Freyre,Diego,Medium
10225,-0.31754608481363966,0.8101579745265014,1,0.5296607926553645,2004-02-22,Shipped,1,2,2004,Classic Cars,1.0025797416323496,S18_1129,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,Desconocido,Gensve,Desconocido,1203,Switzerland,EMEA,Holz,Michael,Medium
10240,0.6065053843033164,0.8101579745265014,3,1.1267755365374366,2004-04-13,Shipped,2,4,2004,Classic Cars,1.0025797416323496,S18_1129,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Desconocido,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium
10253,-0.9335803975582769,0.8101579745265014,5,-0.2711911678372464,2004-06-01,Cancelled,2,6,2004,Classic Cars,1.0025797416323496,S18_1129,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Desconocido,Liverpool,Desconocido,WX1 6LT,UK,EMEA,Devon,Elizabeth,Medium
10266,-1.4469423248454751,0.8101579745265014,6,-0.5578916082910597,2004-07-06,Shipped,3,7,2004,Classic Cars,1.0025797416323496,S18_1129,L'ordine Souveniers,0522-556555,Strada Provinciale 124,Desconocido,Reggio Emilia,Desconocido,42100,Italy,EMEA,Moroni,Maurizio,Small
10278,-0.11220131389876072,0.8101579745265014,6,0.6049130741071312,2004-08-06,Shipped,3,8,2004,Classic Cars,1.0025797416323496,S18_1129,Signal Gift Stores,7025551838,8489 Strong St.,Desconocido,Las Vegas,NV,83030,USA,Desconocido,King,Sue,Medium
10287,0.6065053843033164,0.8101579745265014,4,1.599440014413476,2004-08-30,Shipped,3,8,2004,Classic Cars,1.0025797416323496,S18_1129,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,Desconocido,Gensve,Desconocido,1203,Switzerland,EMEA,Holz,Michael,Medium
10301,0.19581584247355846,0.8101579745265014,8,1.2836497722756453,2003-10-05,Shipped,4,10,2003,Classic Cars,1.0025797416323496,S18_1129,"Norway Gifts By Mail, Co.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Desconocido,Oslo,Desconocido,N 0106,Norway,EMEA,Klaeboe,Jan,Medium
10310,0.19581584247355846,0.8101579745265014,2,1.4542299366027023,2004-10-16,Shipped,4,10,2004,Classic Cars,1.0025797416323496,S18_1129,"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369,Desconocido,Koln,Desconocido,50739,Germany,EMEA,Pfalzheim,Henriette,Medium
10321,0.6065053843033164,0.8101579745265014,10,1.2213974880670253,2004-11-04,Shipped,4,11,2004,Classic Cars,1.0025797416323496,S18_1129,FunGiftIdeas.com,5085552555,1785 First Street,Desconocido,New Bedford,MA,50553,USA,Desconocido,Benitez,Violeta,Medium
10331,1.119867311590515,0.8101579745265014,6,1.563980539894784,2004-11-17,Shipped,4,11,2004,Classic Cars,1.0025797416323496,S18_1129,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Desconocido,Philadelphia,PA,71270,USA,Desconocido,Hernandez,Rosa,Medium
10342,0.5038329988458771,0.8101579745265014,2,1.575047371298933,2004-11-24,Shipped,4,11,2004,Classic Cars,1.0025797416323496,S18_1129,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10356,0.8118501552181958,0.6911735247319236,8,0.34911613587167634,2004-12-09,Shipped,4,12,2004,Classic Cars,1.0025797416323496,S18_1129,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Desconocido,Paris,Desconocido,75508,France,EMEA,Da Cunha,Daniel,Medium
10365,-0.5228908557285186,0.1686334827174064,1,-0.5115770817719283,2005-01-07,Shipped,1,1,2005,Classic Cars,1.0025797416323496,S18_1129,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,Desconocido,New Bedford,MA,50553,USA,Desconocido,Tam,Wing C,Small
10377,-0.009528928441320991,0.8101579745265014,2,1.2713068342081126,2005-02-09,Shipped,1,2,2005,Classic Cars,1.0025797416323496,S18_1129,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Desconocido,Helsinki,Desconocido,21240,Finland,EMEA,Karttunen,Matti,Medium
10390,0.09314345701611873,0.5012941736014115,14,-0.09675010207331496,2005-03-04,Shipped,1,3,2005,Classic Cars,1.0025797416323496,S18_1129,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,Desconocido,San Rafael,CA,97562,USA,Desconocido,Nelson,Valarie,Medium
10406,2.659953093452108,0.8101579745265014,3,2.6178111434811657,2005-04-15,Disputed,2,4,2005,Classic Cars,1.0025797416323496,S18_1129,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Desconocido,Kobenhavn,Desconocido,1734,Denmark,EMEA,Petersen,Jytte,Large
10419,0.29848822793099766,0.8101579745265014,5,0.49434250440581207,2005-05-17,Shipped,2,5,2005,Classic Cars,1.0025797416323496,S18_1129,Salzburg Collectables,6562-9555,Geislweg 14,Desconocido,Salzburg,Desconocido,5020,Austria,EMEA,Pipps,Georg,Medium
10102,0.4011606133884374,0.8101579745265014,2,0.6811808106484847,2003-01-10,Shipped,1,1,2003,Vintage Cars,0.031966745013400466,S18_1342,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,Desconocido,Frick,Michael,Medium
10111,-0.21487369935619993,0.7933018441389362,6,-0.14396061837737467,2003-03-25,Shipped,1,3,2003,Vintage Cars,0.031966745013400466,S18_1342,Mini Wheels Co.,6505555787,5557 North Pendale Street,Desconocido,San Francisco,CA,Desconocido,USA,Desconocido,Murphy,Julie,Medium
10125,-0.31754608481363966,0.8101579745265014,1,-0.16245601963475104,2003-05-21,Shipped,2,5,2003,Vintage Cars,0.031966745013400466,S18_1342,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10139,-0.4202184702710794,0.8101579745265014,7,-0.20034824217555264,2003-07-16,Shipped,3,7,2003,Vintage Cars,0.031966745013400466,S18_1342,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium
10149,1.5305568534202727,0.8101579745265014,4,1.2780674844034834,2003-09-12,Shipped,3,9,2003,Vintage Cars,0.031966745013400466,S18_1342,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,Desconocido,Brisbane,CA,94217,USA,Desconocido,Taylor,Sue,Medium
10162,1.3252120825053932,0.38578010359250936,2,0.4535505331065142,2003-10-18,Shipped,4,10,2003,Vintage Cars,0.031966745013400466,S18_1342,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Desconocido,San Francisco,CA,Desconocido,USA,Desconocido,Brown,Julie,Medium
10173,0.8118501552181958,0.8101579745265014,6,0.8049088545854529,2003-11-05,Shipped,4,11,2003,Vintage Cars,0.031966745013400466,S18_1342,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Desconocido,Bergamo,Desconocido,24100,Italy,EMEA,Rovelli,Giovanni,Medium
10182,-1.0362527830157167,0.18201923331929593,3,-0.7442900650029486,2003-11-12,Shipped,4,11,2003,Vintage Cars,0.031966745013400466,S18_1342,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,Desconocido,San Rafael,CA,97562,USA,Desconocido,Nelson,Valarie,Small
10193,-0.728235626643398,0.8101579745265014,7,-0.2427367043643601,2003-11-21,Shipped,4,11,2003,Vintage Cars,0.031966745013400466,S18_1342,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,Desconocido,Glen Waverly,Victoria,3150,Australia,APAC,Connery,Sean,Medium
10205,0.09314345701611873,0.8101579745265014,2,0.09873857827475942,2003-12-03,Shipped,4,12,2003,Vintage Cars,0.031966745013400466,S18_1342,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Desconocido,Madrid,Desconocido,28034,Spain,EMEA,Freyre,Diego,Medium
10215,-0.8309080121008378,0.2836517841854968,10,-0.6193890889838913,2004-01-29,Shipped,1,1,2004,Vintage Cars,0.031966745013400466,S18_1342,West Coast Collectables Co.,3105553722,3675 Furth Circle,Desconocido,Burbank,CA,94019,USA,Desconocido,Thompson,Steve,Small
10227,-1.0362527830157167,0.8101579745265014,3,-0.32588998664686186,2004-03-02,Shipped,1,3,2004,Vintage Cars,0.031966745013400466,S18_1342,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Desconocido,Lyon,Desconocido,69004,France,EMEA,Saveley,Mary,Small
10244,0.5038329988458771,0.8101579745265014,7,0.6141119025657328,2004-04-29,Shipped,2,4,2004,Vintage Cars,0.031966745013400466,S18_1342,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Desconocido,Madrid,Desconocido,28034,Spain,EMEA,Freyre,Diego,Medium
10256,-0.11220131389876072,0.5895409738657228,2,-0.16572502478946058,2004-06-08,Shipped,2,6,2004,Vintage Cars,0.031966745013400466,S18_1342,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Desconocido,Kobenhavn,Desconocido,1734,Denmark,EMEA,Petersen,Jytte,Medium
10280,1.5305568534202727,0.8101579745265014,9,0.9153273775353902,2004-08-17,Shipped,3,8,2004,Vintage Cars,0.031966745013400466,S18_1342,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Desconocido,Torino,Desconocido,10100,Italy,EMEA,Accorti,Paolo,Medium
10289,0.29848822793099766,0.8101579745265014,2,0.5506758257927821,2004-09-03,Shipped,3,9,2004,Vintage Cars,0.031966745013400466,S18_1342,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Desconocido,Bergen,Desconocido,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
10304,0.19581584247355846,0.5895409738657228,13,-0.01006716306230636,2004-10-11,Shipped,4,10,2004,Vintage Cars,0.031966745013400466,S18_1342,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Desconocido,Versailles,Desconocido,78000,France,EMEA,Tonini,Daniel,Medium
10312,0.8118501552181958,0.2836517841854968,10,0.15717883321659223,2004-10-21,Shipped,4,10,2004,Vintage Cars,0.031966745013400466,S18_1342,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,Desconocido,San Rafael,CA,97562,USA,Desconocido,Nelson,Valarie,Medium
10322,0.8118501552181958,0.13095507361579006,14,0.08526071981298389,2004-11-04,Shipped,4,11,2004,Vintage Cars,0.031966745013400466,S18_1342,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Desconocido,Nashua,NH,62005,USA,Desconocido,Young,Valarie,Medium
10332,1.119867311590515,0.5687186951516717,15,0.4464151962738094,2004-11-17,Shipped,4,11,2004,Vintage Cars,0.031966745013400466,S18_1342,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Desconocido,Manchester,Desconocido,EC2 5NT,UK,EMEA,Ashworth,Victoria,Medium
10346,0.7091777697607561,-2.3573072327133064,3,-1.106286228837495,2004-11-29,Shipped,4,11,2004,Vintage Cars,0.031966745013400466,S18_1342,Signal Gift Stores,7025551838,8489 Strong St.,Desconocido,Las Vegas,NV,83030,USA,Desconocido,King,Sue,Small
10356,1.5305568534202727,-1.6597608957925973,9,-0.5673999604935452,2004-12-09,Shipped,4,12,2004,Vintage Cars,0.031966745013400466,S18_1342,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Desconocido,Paris,Desconocido,75508,France,EMEA,Da Cunha,Daniel,Small
10369,0.9145225406756355,0.8101579745265014,8,3.08793426851268,2005-01-20,Shipped,1,1,2005,Vintage Cars,0.031966745013400466,S18_1342,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Desconocido,Brickhaven,MA,58339,USA,Desconocido,Nelson,Allen,Large
10380,-0.8309080121008378,0.47105229261195586,13,-0.5639680481052122,2005-02-16,Shipped,1,2,2005,Vintage Cars,0.031966745013400466,S18_1342,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Desconocido,Madrid,Desconocido,28034,Spain,EMEA,Freyre,Diego,Small
10391,-0.009528928441320991,0.8101579745265014,2,1.0833390378123182,2005-03-09,Shipped,1,3,2005,Vintage Cars,0.031966745013400466,S18_1342,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Medium
10422,1.633229238877712,0.5895409738657228,2,0.716336191664413,2005-05-30,In Process,2,5,2005,Vintage Cars,0.031966745013400466,S18_1342,Diecast Classics Inc.,2155551555,7586 Pompton St.,Desconocido,Allentown,PA,70267,USA,Desconocido,Yu,Kyung,Medium
10102,0.6065053843033164,-1.6617439699558403,1,-0.8135310695340123,2003-01-10,Shipped,1,1,2003,Vintage Cars,-1.1875213789437409,S18_1367,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,Desconocido,Frick,Michael,Small
10111,1.3252120825053932,-1.7152869723633997,5,-0.6510908366470041,2003-03-25,Shipped,1,3,2003,Vintage Cars,-1.1875213789437409,S18_1367,Mini Wheels Co.,6505555787,5557 North Pendale Street,Desconocido,San Francisco,CA,Desconocido,USA,Desconocido,Murphy,Julie,Small
10126,0.7091777697607561,-1.421296227662632,17,-0.675689828924137,2003-05-28,Shipped,2,5,2003,Vintage Cars,-1.1875213789437409,S18_1367,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Desconocido,Madrid,Desconocido,28023,Spain,EMEA,Sommer,Mart¡n,Small
10139,1.4278844679628335,-2.0092777170641676,6,-0.782236589954958,2003-07-16,Shipped,3,7,2003,Vintage Cars,-1.1875213789437409,S18_1367,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small
10149,-0.5228908557285186,-1.2611629889807636,3,-0.9814015435418002,2003-09-12,Shipped,3,9,2003,Vintage Cars,-1.1875213789437409,S18_1367,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,Desconocido,Brisbane,CA,94217,USA,Desconocido,Taylor,Sue,Small
10162,1.0171949261330746,-1.6086967360890911,1,-0.6784755426190968,2003-10-18,Shipped,4,10,2003,Vintage Cars,-1.1875213789437409,S18_1367,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Desconocido,San Francisco,CA,Desconocido,USA,Desconocido,Brown,Julie,Small
10173,1.3252120825053932,-1.955734714656608,5,-0.7775068499387588,2003-11-05,Shipped,4,11,2003,Vintage Cars,-1.1875213789437409,S18_1367,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Desconocido,Bergamo,Desconocido,24100,Italy,EMEA,Rovelli,Giovanni,Small
10182,-0.31754608481363966,-1.4480677288664119,2,-0.9836822448125278,2003-11-12,Shipped,4,11,2003,Vintage Cars,-1.1875213789437409,S18_1367,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,Desconocido,San Rafael,CA,97562,USA,Desconocido,Nelson,Valarie,Small
10193,1.119867311590515,-1.501610731273972,6,-0.5967124020635147,2003-11-21,Shipped,4,11,2003,Vintage Cars,-1.1875213789437409,S18_1367,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,Desconocido,Glen Waverly,Victoria,3150,Australia,APAC,Connery,Sean,Small
10205,1.3252120825053932,-0.9939437454837755,1,-0.27184279677174,2003-12-03,Shipped,4,12,2003,Vintage Cars,-1.1875213789437409,S18_1367,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Desconocido,Madrid,Desconocido,28034,Spain,EMEA,Freyre,Diego,Medium
10215,-0.21487369935619993,-2.0092777170641676,9,-1.1569666692177332,2004-01-29,Shipped,1,1,2004,Vintage Cars,-1.1875213789437409,S18_1367,West Coast Collectables Co.,3105553722,3675 Furth Circle,Desconocido,Burbank,CA,94019,USA,Desconocido,Thompson,Steve,Small
10227,-0.4202184702710794,-1.7420584735671796,2,-1.1130740302384698,2004-03-02,Shipped,1,3,2004,Vintage Cars,-1.1875213789437409,S18_1367,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Desconocido,Lyon,Desconocido,69004,France,EMEA,Saveley,Mary,Small
10244,-1.5496147103029148,-1.2611629889807636,6,-1.2975501815936026,2004-04-29,Shipped,2,4,2004,Vintage Cars,-1.1875213789437409,S18_1367,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Desconocido,Madrid,Desconocido,28034,Spain,EMEA,Freyre,Diego,Small
10256,-0.6255632411859583,-1.5819252348853112,1,-1.1149040214961727,2004-06-08,Shipped,2,6,2004,Vintage Cars,-1.1875213789437409,S18_1367,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Desconocido,Kobenhavn,Desconocido,1734,Denmark,EMEA,Petersen,Jytte,Small
